date,MPR,ExchangeRate,M2,Inflation,baseline,actual
2010-12-01,2.180003497128826e-05,0.0005079409016723968,0.006594960372650637,0.0,-0.18420283382296862,10216.9
2011-01-01,-0.001194669391206272,0.0013579455990559602,0.012722652344662277,0.0010518659139700595,-0.18420283382296862,10311.2
2011-02-01,-0.0008421422871395827,0.0035332212212610802,0.05770750616549618,-0.003034228671420792,-0.18420283382296862,10406.7
2011-03-01,-0.003727765864543063,0.006185602958821097,0.08553937010980542,0.0027339431163137685,-0.18420283382296862,10503.1
2011-04-01,-0.008090503114812884,0.009101103086732475,0.08505420866752966,-0.013943990912754176,-0.18420283382296862,10600.4
2011-05-01,-0.019527378831428348,0.016030985837316974,0.12117452314129895,0.000831867794350784,-0.18420283382296862,10698.8
2011-06-01,-0.040027720854711436,0.02525082147872401,0.1537275544412494,-0.012948001497231736,-0.18420283382296862,10798.1
2011-07-01,-0.05259696323165054,0.04099405371115967,0.17659096531036947,0.02996475644443053,-0.18420283382296862,10898.5
2011-08-01,-0.07068045064035523,0.06605642510865177,0.1920639654128145,0.01493428926320255,-0.18420283382296862,10999.8
2011-09-01,-0.08971712065944447,0.106395879662943,0.2812967758635994,0.05638288945415648,-0.18420283382296862,11102.3
2011-10-01,-0.10317827278591092,0.15937828027371334,0.42030523661580965,0.054269658912389176,-0.18420283382296862,11205.8
2011-11-01,-0.13363750087760862,0.22464655294017669,0.548841883272625,0.07939447418468865,-0.18420283382296862,11310.4
2011-12-01,-0.1436547490698647,0.3096082337233935,0.7535123601694252,0.0763794699229715,-0.18420283382296862,11416.1
2012-01-01,-0.1292531760327321,0.4050190348729774,0.9560569184632906,0.05323279014521267,-0.18420283382296862,11522.9
2012-02-01,-0.09304197994198207,0.5150419093516406,1.1803748202063171,-0.0024807079363861582,-0.18420283382296862,11630.8
2012-03-01,-0.04204106181833673,0.6428679683710944,1.4644511105179232,-0.05418486792498548,-0.18420283382296862,11739.9
2012-04-01,0.011283743908615885,0.7890194972864736,1.7679399545115637,-0.15059469550778815,-0.18420283382296862,11850.1
2012-05-01,0.08573910703130042,0.9575101056727171,2.087524961533184,-0.24826299172279406,-0.18420283382296862,11961.5
2012-06-01,0.15459473326894355,1.1478886328690099,2.3737681771342594,-0.37924883884094057,-0.18420283382296862,12074.0
2012-07-01,0.2534021052396903,1.3651494420337973,2.6514253241986725,-0.5148152991928461,-0.18420283382296862,12187.7
2012-08-01,0.34809228868623493,1.606780106291438,3.0144376085900295,-0.6532231629895824,-0.18420283382296862,12302.7
2012-09-01,0.4542083265359638,1.8739027745714818,3.292916782543825,-0.8370195804102706,-0.18420283382296862,12418.8
2012-10-01,0.5706652978624408,2.1688469354236046,3.5848732779820205,-0.995950238609551,-0.18420283382296862,12536.2
2012-11-01,0.6974534926722176,2.482666400343453,3.8625529414205015,-1.2097337849834044,-0.18420283382296862,12654.8
2012-12-01,0.8144056735759978,2.8189485050885454,4.166787724348568,-1.418290536066191,-0.18420283382296862,12774.7
2013-01-01,0.9261260356109454,3.167668236572504,4.502247722967889,-1.6385673586559375,-0.18420283382296862,12895.9
2013-02-01,1.0477190077965848,3.5176021861453513,4.79018091593278,-1.821448880846911,-0.18420283382296862,13018.4
2013-03-01,1.144503212920136,3.873529277810663,5.0532776979640905,-2.0762918723739516,-0.18420283382296862,13142.1
2013-04-01,1.2321528817280216,4.216381962211596,5.297623985956618,-2.2230831854444824,-0.18420283382296862,13267.2
2013-05-01,1.3092671936842395,4.548347145291509,5.581957181233553,-2.4496381369881632,-0.18420283382296862,13393.6
2013-06-01,1.3744562975158132,4.866753104661101,5.8194825973447655,-2.5804998201085785,-0.18420283382296862,13521.4
2013-07-01,1.4175503393276085,5.160607142113214,6.046468794102047,-2.7562222786974004,-0.18420283382296862,13650.5
2013-08-01,1.4495292033505391,5.42648893967062,6.348815057201254,-2.8899685885197193,-0.18420283382296862,13781.1
2013-09-01,1.4468183666869974,5.6683511179771955,6.566469447566596,-3.0244853411228645,-0.18420283382296862,13913.0
2013-10-01,1.4225149724528947,5.8716365441729685,6.86167129480994,-3.1429194265469254,-0.18420283382296862,14046.4
2013-11-01,1.3778912707365694,6.0380315967341724,7.190552156245732,-3.225961239906554,-0.18420283382296862,14181.3
2013-12-01,1.298684126292959,6.170334999376222,7.480948385808555,-3.311141619150734,-0.18420283382296862,14317.6
2014-01-01,1.190740679489562,6.272295177382875,7.766128125069649,-3.362547901552123,-0.18420283382296862,14455.4
2014-02-01,1.0445142500297375,6.336359788012415,8.166259198041926,-3.406076207845831,-0.18420283382296862,14594.8
2014-03-01,0.8667058732119173,6.374926217538401,8.513735963005745,-3.412694463950748,-0.18420283382296862,14735.7
2014-04-01,0.6403190709167803,6.3834968692333245,8.936845378899585,-3.4122328356410065,-0.18420283382296862,14878.2
2014-05-01,0.3850317027761866,6.3662880226455005,9.370045483696192,-3.3833906205220066,-0.18420283382296862,15022.3
2014-06-01,0.07746550629496736,6.319660771085532,9.80953400626464,-3.3182833908676352,-0.18420283382296862,15168.0
2014-07-01,-0.26844893711081774,6.250338269630069,10.348303427623508,-3.2518003636599517,-0.18420283382296862,15315.4
2014-08-01,-0.6617111408452128,6.148667739328035,10.834329182094253,-3.1363331057415538,-0.18420283382296862,15464.4
2014-09-01,-1.0935566280549882,6.023594633659893,11.458965729339102,-3.003799750955371,-0.18420283382296862,15615.2
2014-10-01,-1.5651730555091,5.87038967803835,11.990241168944625,-2.83995559653573,-0.18420283382296862,15767.6
2014-11-01,-2.0800242628648795,5.68352434592334,12.614143892120133,-2.6457852980076413,-0.18420283382296862,15921.8
2014-12-01,-2.625383167007774,5.468810248538573,13.28503224575947,-2.41895294840302,-0.18420283382296862,16077.8
